Platform,Category,Problem Name,URL,Difficulty,Key Concept
CSES,Basic Bit Operations,Bit Strings,https://cses.fi/problemset/task/1117,Easy,Bit strings and XOR
CSES,Basic Bit Operations,Counting Bits,https://cses.fi/problemset/task/1665,Easy,Population count
CSES,Basic Bit Operations,Gray Code,https://cses.fi/problemset/task/1060,Easy,Gray code generation
CSES,XOR Problems,XOR Queries,https://cses.fi/problemset/task/1655,Medium,Range XOR queries
CSES,Subset Enumeration,Subsets,https://cses.fi/problemset/task/1656,Medium,Subset enumeration via bitmask
CSES,Bitwise Subset Convolution,Bitwise Subset Convolution,https://cses.fi/problemset/task/1657,Hard,Subset convolution using SOS DP
CSES,Basic Bit Operations,Binary Representation,https://cses.fi/problemset/task/1646,Easy,Binary representation of numbers
CSES,Bitmask Search,Binary Search with Bitmask,https://cses.fi/problemset/task/1659,Medium,Binary search combined with bitmask
CSES,Game Theory,Nim Game,https://cses.fi/problemset/task/1735,Easy,Nim XOR logic
CSES,Game Theory,Game Theory – Sprague‑Grundy,https://cses.fi/problemset/task/1736,Medium,Grundy numbers via XOR
CSES,Bitmask DP,DP Bitmask,https://cses.fi/problemset/task/1660,Medium,DP over subsets
CSES,Bitmask DP,Subset DP,https://cses.fi/problemset/task/1658,Hard,DP on subsets (SOS DP)
CSES,Bitset Operations,Bitset Operations,https://cses.fi/problemset/task/1654,Medium,Operations on C++ bitset
CSES,Bitwise DP,Bitwise DP,https://cses.fi/problemset/task/1661,Hard,DP using bitwise transitions
CSES,XOR Problems,XOR of Subsets,https://cses.fi/problemset/task/1638,Medium,Maximum XOR of subset
CSES,XOR Problems,Maximum XOR Subset,https://cses.fi/problemset/task/1639,Hard,Linear basis for XOR
CSES,Bitwise Queries,Bitwise AND Queries,https://cses.fi/problemset/task/1640,Medium,Range AND queries
CSES,Bit Counting,Counting Set Bits,https://cses.fi/problemset/task/1642,Easy,Popcount of numbers
CSES,Power of Two,Power of Two,https://cses.fi/problemset/task/1547,Easy,Check if number is power of two
CSES,Bit Manipulation on Strings,Binary Strings,https://cses.fi/problemset/task/1625,Easy,Manipulating binary strings
CSES,Bit Manipulation on Arrays,Array Queries,https://cses.fi/problemset/task/1626,Medium,Range bitwise queries on arrays
CSES,Bit DP,SOS DP,https://cses.fi/problemset/task/1653,Hard,Sum over subsets DP
CSES,Bitmask Subset,Subset Sum with Bitmask,https://cses.fi/problemset/task/1652,Medium,Subset sum via bitmask enumeration
CSES,Bitwise Operations,Bitwise OR Queries,https://cses.fi/problemset/task/1651,Medium,Range OR queries
CSES,Bit Manipulation on Strings,Flip Bits,https://cses.fi/problemset/task/1650,Easy,Flip bits in a string
CSES,Bitwise Operations,Bitwise XOR Subarray,https://cses.fi/problemset/task/1649,Medium,Find subarray with given XOR
CSES,Bitmask DP,Mask DP on Trees,https://cses.fi/problemset/task/1648,Hard,Tree DP with masks
CSES,Bitset Operations,Bitset Merge,https://cses.fi/problemset/task/1647,Medium,Merge bitsets efficiently
USACO,Basic Bit Operations,Breed Counting (Silver),http://www.usaco.org/index.php?page=viewproblem2&cpid=1057,Easy,Bitmask for breed subsets
USACO,Bit DP,Grass Planting (Gold),http://www.usaco.org/index.php&page=viewproblem2&cpid=1100,Hard,DP using bitmask states
SPOJ,Basic Bit Operations,BINARY,https://www.spoj.com/problems/BINARY/,Easy,Binary representation conversion
