Platform,Category,Problem Name,URL,Difficulty,Key Concept
AOJ,Combinations,0016 - Treasure Hunt,https://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=0016,Easy,Counting
AtCoder,Bell Numbers,C. 鐘 (Bell),https://atcoder.jp/contests/joig2023-open/tasks/joig2023_c,N/A,c. 鐘 (bell)
AtCoder,Combinations,019. Choose Cards 1,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_s,N/A,019. choose cards 1
AtCoder,Combinations,020. Choose Cards 2,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_t,N/A,020. choose cards 2
AtCoder,Combinations,021. Combination Easy,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_u,N/A,021. combination easy
AtCoder,Combinations,022. Choose Cards 3,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_v,N/A,022. choose cards 3
AtCoder,Combinations,051. Combination Hard,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_ar,N/A,051. combination hard
AtCoder,Combinations,A30. Combination,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_ad,N/A,a30. combination
AtCoder,Combinations,B. Choose Integers,https://atcoder.jp/contests/abc060/tasks/abc060_b,N/A,b. choose integers
AtCoder,Combinations,B30. Combination 2,https://atcoder.jp/contests/tessoku-book/tasks/tessoku_book_dc,N/A,b30. combination 2
AtCoder,Combinations,C. Choose Elements,https://atcoder.jp/contests/abc245/tasks/abc245_c,N/A,c. choose elements
AtCoder,Combinations,C. CombinatioN,https://atcoder.jp/contests/xmascon18/tasks/xmascon18_c,N/A,c. combination
AtCoder,Combinations,C. Combination,https://atcoder.jp/contests/xmascon25/tasks/xmascon25_c,N/A,c. combination
AtCoder,Combinations,D. Binomial Coefficient is Fun,https://atcoder.jp/contests/arc110/tasks/arc110_d,N/A,d. binomial coefficient is fun
AtCoder,Combinations,D. Binomial Coefficients,https://atcoder.jp/contests/abc094/tasks/arc095_b,N/A,d. binomial coefficients
AtCoder,Combinations,D. Choose Me,https://atcoder.jp/contests/abc187/tasks/abc187_d,N/A,d. choose me
AtCoder,Combinations,D. Choose Your Characters,https://atcoder.jp/contests/wupc2019/tasks/wupc2019_d,N/A,d. choose your characters
AtCoder,Combinations,D. Stick Combination,https://atcoder.jp/contests/kupc2020/tasks/kupc2020_d,N/A,d. stick combination
AtCoder,Combinations,E. Choose Two and Eat One,https://atcoder.jp/contests/abc282/tasks/abc282_e,N/A,e. choose two and eat one
AtCoder,Combinations,E. Combination Lock,https://atcoder.jp/contests/cf17-final/tasks/cf17_final_e,N/A,e. combination lock
AtCoder,Combinations,F. Adjacent Binomial Coefficients,https://atcoder.jp/contests/jsc2023-final/tasks/jsc2023_final_f,N/A,f. adjacent binomial coefficients
AtCoder,Combinations,G. Divisors of Binomial Coefficient,https://atcoder.jp/contests/abc227/tasks/abc227_g,N/A,g. divisors of binomial coefficient
AtCoder,Derangements,C. K Derangement,https://atcoder.jp/contests/arc144/tasks/arc144_c,N/A,c. k derangement
AtCoder,Derangements,D. Derangement,https://atcoder.jp/contests/abc072/tasks/arc082_b,N/A,d. derangement
AtCoder,Factorial,010. Factorial,https://atcoder.jp/contests/math-and-algorithm/tasks/math_and_algorithm_j,N/A,010. factorial
AtCoder,Factorial,B. Factorial Yen Coin,https://atcoder.jp/contests/abc208/tasks/abc208_b,N/A,b. factorial yen coin
AtCoder,Factorial,C. Factors of Factorial,https://atcoder.jp/contests/abc052/tasks/arc067_a,N/A,c. factors of factorial
AtCoder,Factorial,D. Factorial and Multiple,https://atcoder.jp/contests/abc280/tasks/abc280_d,N/A,d. factorial and multiple
AtCoder,Factorial,E. Double Factorial,https://atcoder.jp/contests/abc148/tasks/abc148_e,N/A,e. double factorial
AtCoder,Factorial,factorial. 階乗 (Factorial),https://atcoder.jp/contests/joisc2007/tasks/joisc2007_factor,N/A,factorial. 階乗 (factorial)
AtCoder,Lucas Theorem,B. Lucas Number,https://atcoder.jp/contests/abc079/tasks/abc079_b,N/A,b. lucas number
AtCoder,Partition,089. Partitions and Inversions（★7）,https://atcoder.jp/contests/typical90/tasks/typical90_ck,N/A,089. partitions and inversions（★7）
AtCoder,Partition,A. Partition,https://atcoder.jp/contests/arc179/tasks/arc179_a,N/A,a. partition
AtCoder,Partition,B. Graph Partition,https://atcoder.jp/contests/agc039/tasks/agc039_b,N/A,b. graph partition
AtCoder,Partition,B. L Partition,https://atcoder.jp/contests/arc190/tasks/arc190_b,N/A,b. l partition
AtCoder,Partition,C. Fair Coin Partition,https://atcoder.jp/contests/arc210/tasks/arc210_c,N/A,c. fair coin partition
AtCoder,Partition,D. Partition,https://atcoder.jp/contests/abc112/tasks/abc112_d,N/A,d. partition
AtCoder,Partition,D. Yet Another Palindrome Partitioning,https://atcoder.jp/contests/code-festival-2017-qualc/tasks/code_festival_2017_qualc_d,N/A,d. yet another palindrome partitioning
AtCoder,Partition,E. Avoid K Partition,https://atcoder.jp/contests/abc370/tasks/abc370_e,N/A,e. avoid k partition
AtCoder,Partition,E. Good Partition,https://atcoder.jp/contests/codequeen2023-final-open/tasks/codequeen2023_final_e,N/A,e. good partition
AtCoder,Partition,E. Sequence Partitioning,https://atcoder.jp/contests/kupc2020/tasks/kupc2020_e,N/A,e. sequence partitioning
AtCoder,Partition,E. XOR Partitioning,https://atcoder.jp/contests/diverta2019/tasks/diverta2019_e,N/A,e. xor partitioning
AtCoder,Partition,G. Bipartite Partition,https://atcoder.jp/contests/jsc2022-final-open/tasks/jsc2022_final_g,N/A,g. bipartite partition
AtCoder,Partition,I. Odd Even Partition,https://atcoder.jp/contests/KeioPC2025/tasks/KeioPC2025_i,N/A,i. odd even partition
AtCoder,Permutations,A. Good Permutation 2,https://atcoder.jp/contests/arc178/tasks/arc178_a,N/A,a. good permutation 2
