Platform,Category,Problem Name,URL,Difficulty,Key Concept
AtCoder,1D DP,DP A - Frog 1,https://atcoder.jp/contests/dp/tasks/dp_a,100,Simple 1D DP / Iterative DP
AtCoder,1D DP,DP B - Frog 2,https://atcoder.jp/contests/dp/tasks/dp_b,200,Simple 1D DP / Min-Cost DP
AtCoder,1D DP,DP C - Vacation,https://atcoder.jp/contests/dp/tasks/dp_c,400,Task Scheduling DP / Max Happiness
AtCoder,Knapsack,DP D - Knapsack 1,https://atcoder.jp/contests/dp/tasks/dp_d,600,Classic 0/1 Knapsack
AtCoder,Knapsack,DP E - Knapsack 2,https://atcoder.jp/contests/dp/tasks/dp_e,1500,Knapsack with Large Capacity / DP on Value
AtCoder,LIS / LCS,DP F - LCS,https://atcoder.jp/contests/dp/tasks/dp_f,1000,Longest Common Subsequence / Reconstruction
AtCoder,DP on Graphs / DAG DP,DP G - Longest Path,https://atcoder.jp/contests/dp/tasks/dp_g,800,Longest Path on DAG / Topological Order
AtCoder,2D DP / Grid DP,DP H - Grid 1,https://atcoder.jp/contests/dp/tasks/dp_h,400,Grid Path Counting
AtCoder,DP with Probability / Expected Value,DP I - Coins,https://atcoder.jp/contests/dp/tasks/dp_i,700,Probability DP / Coin Toss
AtCoder,DP with Probability / Expected Value,DP J - Sushi,https://atcoder.jp/contests/dp/tasks/dp_j,1500,Expected Value / DP on State Distribution
AtCoder,Game Theory DP,DP K - Stones,https://atcoder.jp/contests/dp/tasks/dp_k,700,Take-Away Game / Grundy
AtCoder,DP on Intervals,DP L - Deque,https://atcoder.jp/contests/dp/tasks/dp_l,1200,Interval DP / Game Theory
AtCoder,1D DP,DP M - Candies,https://atcoder.jp/contests/dp/tasks/dp_m,1200,DP with Prefix Sums / Distribution
AtCoder,DP on Intervals,DP N - Slimes,https://atcoder.jp/contests/dp/tasks/dp_n,1500,Interval DP / Optimal Merging
AtCoder,DP with Bitmask,DP O - Matching,https://atcoder.jp/contests/dp/tasks/dp_o,1600,Bitmask DP / Counting Matchings
AtCoder,DP on Trees,DP P - Independent Set,https://atcoder.jp/contests/dp/tasks/dp_p,900,Tree DP / Independent Set
AtCoder,LIS / LCS,DP Q - Flowers,https://atcoder.jp/contests/dp/tasks/dp_q,1200,LIS with Fenwick Tree / Weighted LIS
AtCoder,DP with Matrix Exponentiation,DP R - Walk,https://atcoder.jp/contests/dp/tasks/dp_r,1500,Matrix Exponentiation / Graph Walks
AtCoder,Digit DP,DP S - Digit Sum,https://atcoder.jp/contests/dp/tasks/dp_s,1100,Digit DP / Modulo Counting
AtCoder,DP with Combinatorics,DP T - Permutation,https://atcoder.jp/contests/dp/tasks/dp_t,1500,Permutation DP / Insertion Technique
AtCoder,DP with Bitmask,DP U - Grouping,https://atcoder.jp/contests/dp/tasks/dp_u,1600,Subset DP / Bitmask
AtCoder,DP on Trees,DP V - Subtree,https://atcoder.jp/contests/dp/tasks/dp_v,2000,Tree DP / Rerooting
AtCoder,DP with Data Structures,DP W - Intervals,https://atcoder.jp/contests/dp/tasks/dp_w,2200,DP with Segment Tree / Interval Scheduling
AtCoder,1D DP,DP X - Tower,https://atcoder.jp/contests/dp/tasks/dp_x,1800,Sorting + Knapsack DP
AtCoder,DP with Combinatorics,DP Y - Grid 2,https://atcoder.jp/contests/dp/tasks/dp_y,1700,Grid DP with Obstacles / Inclusion-Exclusion
AtCoder,DP with Convex Hull Trick,DP Z - Frog 3,https://atcoder.jp/contests/dp/tasks/dp_z,2000,CHT / DP Optimization
AtCoder,Knapsack,TDPC A - Contest,https://atcoder.jp/contests/tdpc/tasks/tdpc_contest,500,Knapsack DP / Subset Sum
AtCoder,Game Theory DP,TDPC B - Game,https://atcoder.jp/contests/tdpc/tasks/tdpc_game,1000,Game DP / Optimal Play
AtCoder,DP with Probability / Expected Value,TDPC C - Tournament,https://atcoder.jp/contests/tdpc/tasks/tdpc_tournament,1200,Tournament Probability DP
AtCoder,DP with Probability / Expected Value,TDPC D - Dice,https://atcoder.jp/contests/tdpc/tasks/tdpc_dice,1400,Dice Probability / DP on States
