Platform,Category,Problem Name,URL,Difficulty,Key Concept
AOJ,Game Theory,2305 - Nim,https://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=2305,N/A,Nim Game
AtCoder,Game Theory,ABC 190 F - Shift and Inversions Game,https://atcoder.jp/contests/abc190/tasks/abc190_f,N/A,Game Theory
AtCoder,Game Theory,ABC 195 F - Coprime Game,https://atcoder.jp/contests/abc195/tasks/abc195_f,N/A,Coprime Game
AtCoder,Game Theory,ABC 206 D - Game,https://atcoder.jp/contests/abc206/tasks/abc206_d,N/A,Game Theory
AtCoder,Game Theory,ABC 209 D - Game,https://atcoder.jp/contests/abc209/tasks/abc209_d,N/A,Game Theory
AtCoder,Game Theory,ABC 215 D - Game,https://atcoder.jp/contests/abc215/tasks/abc215_d,N/A,Game Theory
AtCoder,Game Theory,ABC 255 F - Game on Tree,https://atcoder.jp/contests/abc255/tasks/abc255_f,N/A,Tree Game
AtCoder,Game Theory,ABC 260 F - Game,https://atcoder.jp/contests/abc260/tasks/abc260_f,N/A,Game Theory
AtCoder,Game Theory,ABC 270 F - Transportation Game,https://atcoder.jp/contests/abc270/tasks/abc270_f,N/A,Game Theory
AtCoder,Game Theory,ABC 278 F - Shiritori Game,https://atcoder.jp/contests/abc278/tasks/abc278_f,N/A,Shiritori Game
AtCoder,Game Theory,AGC 017 D - Game on Tree,https://atcoder.jp/contests/agc017/tasks/agc017_d,N/A,Tree Game / Grundy
AtCoder,Game Theory,AGC 020 D - Min Max Game,https://atcoder.jp/contests/agc020/tasks/agc020_d,N/A,Game Theory
AtCoder,Game Theory,AGC 032 D - Game on a Strip,https://atcoder.jp/contests/agc032/tasks/agc032_d,N/A,Game Theory
AtCoder,Game Theory,AGC 043 A - Range Flip Find Game,https://atcoder.jp/contests/agc043/tasks/agc043_a,N/A,Range Flip Game
AtCoder,Game Theory,AGC 045 A - Xor Game,https://atcoder.jp/contests/agc045/tasks/agc045_a,N/A,XOR Game
AtCoder,Game Theory,AGC 046 B - Extension Game,https://atcoder.jp/contests/agc046/tasks/agc046_b,N/A,Extension Game
AtCoder,Game Theory,ARC 105 D - Game,https://atcoder.jp/contests/arc105/tasks/arc105_d,N/A,Game Theory
AtCoder,Game Theory,ARC 116 D - Game,https://atcoder.jp/contests/arc116/tasks/arc116_d,N/A,Game Theory
AtCoder,Game Theory,ARC 117 C - Game,https://atcoder.jp/contests/arc117/tasks/arc117_c,N/A,Game Theory
AtCoder,Game Theory,ARC 122 C - Calculator Game,https://atcoder.jp/contests/arc122/tasks/arc122_c,N/A,Calculator Game
Baekjoon,Game Theory,10834 - Belt,https://www.acmicpc.net/problem/10834,N/A,Game Theory
Baekjoon,Game Theory,11047 - Coin 0,https://www.acmicpc.net/problem/11047,N/A,Coin Game
Baekjoon,Game Theory,11062 - Card Game,https://www.acmicpc.net/problem/11062,N/A,Card Game / Minimax DP
Baekjoon,Nim Game,11867 - Nim Game 1,https://www.acmicpc.net/problem/11867,N/A,Nim Game
Baekjoon,Nim Game,11868 - Nim Game 2,https://www.acmicpc.net/problem/11868,N/A,Nim Game
Baekjoon,Nim Game,11869 - Nim Game 3,https://www.acmicpc.net/problem/11869,N/A,Nim Game
Baekjoon,Game Theory,15734 - Field Goal,https://www.acmicpc.net/problem/15734,N/A,Game Theory
Baekjoon,Game Theory,15736 - Clean Desk,https://www.acmicpc.net/problem/15736,N/A,Game Theory
Baekjoon,Game Theory,15803 - Rock Paper Scissors,https://www.acmicpc.net/problem/15803,N/A,Rock Paper Scissors
Baekjoon,Game Theory,16189 - Rectangle Game,https://www.acmicpc.net/problem/16189,N/A,Rectangle Game
Baekjoon,Game Theory,16204 - Card Game,https://www.acmicpc.net/problem/16204,N/A,Card Game
Baekjoon,Game Theory,17073 - Tree and Game,https://www.acmicpc.net/problem/17073,N/A,Tree Game
Baekjoon,Game Theory,18185 - Walking Game,https://www.acmicpc.net/problem/18185,N/A,Game Theory
Baekjoon,Game Theory,19585 - Legend,https://www.acmicpc.net/problem/19585,N/A,Game Theory
Baekjoon,Game Theory,20303 - Candy Distribution Game,https://www.acmicpc.net/problem/20303,N/A,Game Theory
Baekjoon,Game Theory,20543 - Bomb Game,https://www.acmicpc.net/problem/20543,N/A,Game Theory
Baekjoon,Game Theory,21758 - Honey Harvest Game,https://www.acmicpc.net/problem/21758,N/A,Game Theory
Baekjoon,Game Theory,22846 - Ping-pong Game,https://www.acmicpc.net/problem/22846,N/A,Ping-pong Game
Baekjoon,Game Theory,22860 - XP Game,https://www.acmicpc.net/problem/22860,N/A,Game Theory
Baekjoon,Game Theory,22951 - Card Game,https://www.acmicpc.net/problem/22951,N/A,Card Game
Baekjoon,Game Theory,23247 - Ten,https://www.acmicpc.net/problem/23247,N/A,Game Theory
