Platform,Category,Problem Name,URL,Difficulty,Key Concept
AOJ,Circle Intersection,Circle Area,https://judge.u-aizu.ac.jp/onlinejudge/description.jsp?id=cgl_7_h,Medium,Circle-polygon area
AtCoder,Convex Hull,ABC 206 D - KAIBUNsyo,https://atcoder.jp/contests/abc206/tasks/abc206_d,600,Line geometry
AtCoder,Convex Hull,ABC 227 D - Project Planning,https://atcoder.jp/contests/abc227/tasks/abc227_d,600,Line / binary search
AtCoder,Convex Hull,ARC 143 B - Counting Grids,https://atcoder.jp/contests/arc143/tasks/arc143_b,500,Grid geometry
AtCoder,Distance,ABC 042 D - Iroha and a Grid,https://atcoder.jp/contests/abc042/tasks/abc042_d,1600,Grid / Manhattan distance
AtCoder,Distance,ABC 127 E - Cell Distance,https://atcoder.jp/contests/abc127/tasks/abc127_e,4000,Manhattan distance
AtCoder,Distance,ABC 133 D - Rain Flows into Dams,https://atcoder.jp/contests/abc133/tasks/abc133_d,600,Line / distance
AtCoder,Distance,ABC 155 D - Pairs,https://atcoder.jp/contests/abc155/tasks/abc155_d,800,Coordinate / line
AtCoder,Distance,ABC 179 E - Sequence Sum,https://atcoder.jp/contests/abc179/tasks/abc179_e,800,Coordinate cycle
AtCoder,Distance,ABC 202 D - aab aba baa,https://atcoder.jp/contests/abc202/tasks/abc202_d,600,Coordinate / combinatorics
AtCoder,Distance,ABC 207 E - Mod i,https://atcoder.jp/contests/abc207/tasks/abc207_e,2000,Coordinate DP
AtCoder,Distance,ABC 220 D - FG operation,https://atcoder.jp/contests/abc220/tasks/abc220_d,600,Line / coordinate DP
AtCoder,Distance,ABC 247 D - Cylinder,https://atcoder.jp/contests/abc247/tasks/abc247_d,400,Line / queue
AtCoder,Distance,ABC 257 D - Jumping Takahashi 2,https://atcoder.jp/contests/abc257/tasks/abc257_d,800,Distance / graph
AtCoder,Distance,ABC 267 D - Index × A,https://atcoder.jp/contests/abc267/tasks/abc267_d,600,Coordinate DP
AtCoder,Distance,ABC 281 D - Max Multiple,https://atcoder.jp/contests/abc281/tasks/abc281_d,600,Coordinate DP
AtCoder,Distance,ABC 304 D - A Piece of Cake,https://atcoder.jp/contests/abc304/tasks/abc304_d,800,Coordinate frequency
AtCoder,Distance,ABC 326 D - ABC Puzzle,https://atcoder.jp/contests/abc326/tasks/abc326_d,800,Grid / coordinate
AtCoder,Distance,ABC 340 D - Super Takahashi Bros.,https://atcoder.jp/contests/abc340/tasks/abc340_d,800,Graph / distance
AtCoder,Distance,ABC 351 D - Grid and Magnet,https://atcoder.jp/contests/abc351/tasks/abc351_d,800,Grid / BFS distance
AtCoder,Geometry,ABC 002 D - Triple,https://atcoder.jp/contests/abc002/tasks/abc002_d,400,Coordinate / point set
AtCoder,Geometry,ABC 003 C - AtCoder,https://atcoder.jp/contests/abc003/tasks/abc003_c,300,Coordinate sorting
AtCoder,Geometry,ABC 007 C - Maze,https://atcoder.jp/contests/abc007/tasks/abc007_c,400,Grid geometry / BFS
AtCoder,Geometry,ABC 015 D - High-Speed dot,https://atcoder.jp/contests/abc015/tasks/abc015_d,500,Coordinate DP
AtCoder,Geometry,ABC 019 C - Number Transformation,https://atcoder.jp/contests/abc019/tasks/abc019_c,400,Line geometry
AtCoder,Geometry,ABC 022 C - Blue Bird,https://atcoder.jp/contests/abc022/tasks/abc022_c,600,Graph / distance
AtCoder,Geometry,ABC 023 D - Shooting,https://atcoder.jp/contests/abc023/tasks/abc023_d,1000,Coordinate binary search
AtCoder,Geometry,ABC 030 D - Score Distribution,https://atcoder.jp/contests/abc030/tasks/abc030_d,500,Coordinate geometry
AtCoder,Geometry,ABC 036 D - Colored Ball,https://atcoder.jp/contests/abc036/tasks/abc036_d,500,Grid geometry
AtCoder,Geometry,ABC 041 D - Revenge,https://atcoder.jp/contests/abc041/tasks/abc041_d,500,Coordinate geometry
AtCoder,Geometry,ABC 054 C - One-stroke Path,https://atcoder.jp/contests/abc054/tasks/abc054_c,300,Grid paths
AtCoder,Geometry,ABC 054 D - Bots,https://atcoder.jp/contests/abc054/tasks/abc054_d,500,Coordinate DP
AtCoder,Geometry,ABC 070 D - Transit Tree Path,https://atcoder.jp/contests/abc070/tasks/abc070_d,400,Tree distance
AtCoder,Geometry,ABC 074 D - Restoring Road Network,https://atcoder.jp/contests/abc074/tasks/abc074_d,1500,Distance matrix / Floyd
AtCoder,Geometry,ABC 107 C - Candles,https://atcoder.jp/contests/abc107/tasks/abc107_c,300,Coordinate / distance
AtCoder,Geometry,ABC 109 D - Make Them Even,https://atcoder.jp/contests/abc109/tasks/abc109_d,600,Grid / parity
AtCoder,Geometry,ABC 114 D - 756,https://atcoder.jp/contests/abc114/tasks/abc114_d,400,Line geometry
AtCoder,Geometry,ABC 124 D - Handstand,https://atcoder.jp/contests/abc124/tasks/abc124_d,600,Line / range
AtCoder,Geometry,ABC 125 D - Handstand,https://atcoder.jp/contests/abc125/tasks/abc125_d,500,Coordinate transform
AtCoder,Geometry,ABC 129 D - Lamp,https://atcoder.jp/contests/abc129/tasks/abc129_d,600,Grid / line of sight
AtCoder,Geometry,ABC 132 D - Blue and Red Balls,https://atcoder.jp/contests/abc132/tasks/abc132_d,600,Line combinatorics
AtCoder,Geometry,ABC 136 D - Gathering Children,https://atcoder.jp/contests/abc136/tasks/abc136_d,800,Line / coordinate
AtCoder,Geometry,ABC 139 C - Lower,https://atcoder.jp/contests/abc139/tasks/abc139_c,300,Coordinate geometry
AtCoder,Geometry,ABC 140 D - Face Produces Unhappiness,https://atcoder.jp/contests/abc140/tasks/abc140_d,600,Line / segment
AtCoder,Geometry,ABC 141 D - Powerful Discount Tickets,https://atcoder.jp/contests/abc141/tasks/abc141_d,400,Coordinate / greedy
AtCoder,Geometry,ABC 143 C - Slimes,https://atcoder.jp/contests/abc143/tasks/abc143_c,200,Line segments
AtCoder,Geometry,ABC 146 D - Coloring Edges on Tree,https://atcoder.jp/contests/abc146/tasks/abc146_d,800,Graph geometry
AtCoder,Geometry,ABC 148 D - Brick Break,https://atcoder.jp/contests/abc148/tasks/abc148_d,400,Line / sequence
AtCoder,Geometry,ABC 150 D - Semi Common Multiple,https://atcoder.jp/contests/abc150/tasks/abc150_d,600,LCM / line
AtCoder,Geometry,ABC 151 D - Maze Master,https://atcoder.jp/contests/abc151/tasks/abc151_d,600,Grid / BFS distance
AtCoder,Geometry,ABC 159 D - Banned K,https://atcoder.jp/contests/abc159/tasks/abc159_d,400,Coordinate / counting
AtCoder,Geometry,ABC 160 D - Line++,https://atcoder.jp/contests/abc160/tasks/abc160_d,600,Line graph / distance
