Platform,Category,Problem Name,URL,Difficulty,Key Concept,Chapter
Codeforces,Geometry,Vlad and Shapes,https://codeforces.com/problemset/problem/1926/b,800,geometry; implementation,1. Introduction to Shapes
LeetCode,Geometry,919. Projection Area of 3D Shapes,https://leetcode.com/problems/projection-area-of-3d-shapes/,Easy,Array; Math; Geometry; Matrix,1. Introduction to Shapes
LeetCode,Geometry,928. Surface Area of 3D Shapes,https://leetcode.com/problems/surface-area-of-3d-shapes/,Easy,Array; Math; Geometry; Matrix,1. Introduction to Shapes
Codeforces,Polygons,Vlad and Shapes,https://codeforces.com/problemset/problem/1925/A,800,Grid shape recognition,1. Introduction to Shapes
AtCoder,Polygons,ABC218C - Shapes,https://atcoder.jp/contests/abc218/tasks/abc218_c,300,90 rotation + translation matching,1. Introduction to Shapes
GeeksforGeeks,Polygons,Find perimeter of shapes formed with 1s in binary matrix,https://www.geeksforgeeks.org/dsa/find-perimeter-of-shapes-formed-with-1s-in-binary-matrix/,--,Grid geometry,1. Introduction to Shapes
UVa,Rectangles & Squares,478 - Points in Rectangles Circles Triangles,https://onlinejudge.org/external/4/478.html,1,Point in shape detection,1. Introduction to Shapes
Codeforces,Shape/Grid,Gregor and the Odd Cows (Hard),https://codeforces.com/problemset/problem/1548/D2,3300,Geometry,1. Introduction to Shapes
Codeforces,Shape/Grid,Guard Duty (hard),https://codeforces.com/problemset/problem/958/E3,2700,Geometry,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid L,https://codeforces.com/problemset/problem/2219/A,N/A,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Covering,https://codeforces.com/problemset/problem/2217/C,1300,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Grid Path,https://codeforces.com/problemset/problem/2204/G,2700,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Knit the Grid,https://codeforces.com/problemset/problem/2181/K,3500,Shape,1. Introduction to Shapes
Codeforces,Shape/Grid,Circles Are Far from Each Other,https://codeforces.com/problemset/problem/2172/C,3100,Shape,1. Introduction to Shapes
