Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,Graph Traversal - BFS/DFS,200. Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,2D Grid BFS/DFS / Connected Components
LeetCode,Graph Traversal - BFS/DFS,695. Max Area of Island,https://leetcode.com/problems/max-area-of-island/,Medium,2D Grid DFS/BFS
LeetCode,Graph Traversal - BFS/DFS,733. Flood Fill,https://leetcode.com/problems/flood-fill/,Easy,2D Grid DFS/BFS
LeetCode,Graph Traversal - BFS/DFS,463. Island Perimeter,https://leetcode.com/problems/island-perimeter/,Easy,2D Grid BFS/DFS
LeetCode,Graph Traversal - BFS/DFS,130. Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Medium,BFS/DFS Boundary Traversal
LeetCode,Graph Traversal - BFS/DFS,417. Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,BFS/DFS from Boundaries
LeetCode,Graph Traversal - BFS/DFS,79. Word Search,https://leetcode.com/problems/word-search/,Medium,DFS with Backtracking
LeetCode,Graph Traversal - BFS/DFS,212. Word Search II,https://leetcode.com/problems/word-search-ii/,Hard,Trie + DFS + Backtracking
LeetCode,Graph Traversal - BFS/DFS,994. Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,Medium,Multi-source BFS
LeetCode,Graph Traversal - BFS/DFS,542. 01 Matrix,https://leetcode.com/problems/01-matrix/,Medium,Multi-source BFS
LeetCode,Graph Traversal - BFS/DFS,286. Walls and Gates,https://leetcode.com/problems/walls-and-gates/,Medium,Multi-source BFS
LeetCode,Graph Traversal - BFS/DFS,490. The Maze,https://leetcode.com/problems/the-maze/,Medium,BFS/DFS
LeetCode,Graph Traversal - BFS/DFS,505. The Maze II,https://leetcode.com/problems/the-maze-ii/,Medium,BFS/Dijkstra
LeetCode,Graph Traversal - BFS/DFS,499. The Maze III,https://leetcode.com/problems/the-maze-iii/,Hard,BFS/Dijkstra
LeetCode,Graph Traversal - BFS/DFS,547. Number of Provinces,https://leetcode.com/problems/number-of-provinces/,Medium,DFS/BFS/Union-Find
LeetCode,Graph Traversal - BFS/DFS,1971. Find if Path Exists in Graph,https://leetcode.com/problems/find-if-path-exists-in-graph/,Easy,DFS/BFS
LeetCode,Graph Traversal - BFS/DFS,323. Number of Connected Components in an Undirected Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Medium,DFS/BFS/Union-Find
