Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,Array,1. Two Sum,https://leetcode.com/problems/two-sum/,Easy,"Array, Hash Table"
LeetCode,Linked List,2. Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,"Linked List, Math, Recursion"
LeetCode,Hash Table,3. Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,"Hash Table, String, Sliding Window"
LeetCode,Array,4. Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,"Array, Binary Search, Divide and Conquer"
LeetCode,Two Pointers,5. Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,"Two Pointers, String, Dynamic Programming"
LeetCode,String,6. Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,String
LeetCode,Math,7. Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,Math
LeetCode,String,8. String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,String
LeetCode,Math,9. Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,Math
LeetCode,String,10. Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,"String, Dynamic Programming, Recursion"
LeetCode,Array,11. Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,"Array, Two Pointers, Greedy"
LeetCode,Hash Table,12. Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,"Hash Table, Math, String"
LeetCode,Hash Table,13. Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,"Hash Table, Math, String"
LeetCode,Array,14. Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,"Array, String, Trie"
LeetCode,Array,15. 3Sum,https://leetcode.com/problems/3sum/,Medium,"Array, Two Pointers, Sorting"
LeetCode,Array,16. 3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,"Array, Two Pointers, Sorting"
LeetCode,Hash Table,17. Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,"Hash Table, String, Backtracking"
LeetCode,Array,18. 4Sum,https://leetcode.com/problems/4sum/,Medium,"Array, Two Pointers, Sorting"
LeetCode,Linked List,19. Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,"Linked List, Two Pointers"
LeetCode,String,20. Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,"String, Stack"
LeetCode,Linked List,21. Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,"Linked List, Recursion"
LeetCode,String,22. Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,"String, Dynamic Programming, Backtracking"
LeetCode,Linked List,23. Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
