Platform,Category,Problem Name,URL,Difficulty,Key Concept
Codeforces,Matrix Determinant,2138E2 - Determinant Construction (Hard Version),https://codeforces.com/problemset/problem/2138/e2,3100,"Determinant, constructive"
Codeforces,Matrix Determinant,2138E1 - Determinant Construction (Easy Version),https://codeforces.com/problemset/problem/2138/e1,3100,"Determinant, constructive"
Codeforces,Matrix Rank,1916H2 - Matrix Rank (Hard Version),https://codeforces.com/problemset/problem/1916/h2,2700,Matrix rank over finite field
Codeforces,Matrix Rank,1916H1 - Matrix Rank (Easy Version),https://codeforces.com/problemset/problem/1916/h1,2700,Matrix rank over finite field
Codeforces,Matrix Exponentiation,1182E - Product Oriented Recurrence,https://codeforces.com/problemset/problem/1182/e,2300,"Matrix exponentiation, linear recurrence"
Codeforces,Matrix Exponentiation,946F - Fibonacci String Subsequences,https://codeforces.com/problemset/problem/946/f,2400,"Matrix exponentiation, DP"
Codeforces,Matrix Exponentiation,691E - Xor-sequences,https://codeforces.com/problemset/problem/691/e,1900,"Matrix exponentiation, XOR basis"
Codeforces,Matrix Exponentiation,193E - Fibonacci Number,https://codeforces.com/problemset/problem/193/e,2900,"Nth Fibonacci, matrix exponentiation"
Codeforces,Matrix Exponentiation,177G2 - Fibonacci Strings,https://codeforces.com/problemset/problem/177/g2,2600,"Matrix exponentiation, strings"
Codeforces,Matrix Exponentiation,954F - Runner's Problem,https://codeforces.com/problemset/problem/954/f,2400,"Matrix exponentiation, dynamic programming"
Codeforces,Matrix Exponentiation,718C - Sasha and Array,https://codeforces.com/problemset/problem/718/c,2300,"Segment tree, matrix exponentiation"
Codeforces,Matrix Exponentiation,623B - Array GCD,https://codeforces.com/problemset/problem/623/b,2500,"Matrix exponentiation, GCD"
Codeforces,Matrix Exponentiation,576D - Flights for Regular Customers,https://codeforces.com/problemset/problem/576/d,2300,"Matrix exponentiation, graph"
Codeforces,Matrix Exponentiation,551C - GukiZ hates Boxes,https://codeforces.com/problemset/problem/551/c,2200,Matrix exponentiation
Codeforces,Matrix Exponentiation,514E - Darth Vader and Tree,https://codeforces.com/problemset/problem/514/e,2100,"Matrix exponentiation, DP, tree"
Codeforces,Matrix Exponentiation,446C - DZY Loves Fibonacci Numbers,https://codeforces.com/problemset/problem/446/c,2700,"Segment tree, Fibonacci, matrix"
Codeforces,Matrix Exponentiation,226D - The Table,https://codeforces.com/problemset/problem/226/d,1700,Matrix operations
Codeforces,Matrix Exponentiation,225E - Unsolvable,https://codeforces.com/problemset/problem/225/e,2100,"Mersenne numbers, matrix"
Codeforces,Matrix Exponentiation,222E - Decoding Genome,https://codeforces.com/problemset/problem/222/e,1700,"Matrix exponentiation, DP transition"
Codeforces,Matrix Exponentiation,185A - Plant,https://codeforces.com/problemset/problem/185/a,1400,"Matrix exponentiation, closed form"
Codeforces,Matrix Exponentiation,166E - Tetrahedron,https://codeforces.com/problemset/problem/166/e,1500,"Matrix exponentiation, DP"
Codeforces,Matrix Exponentiation,147B - Smile House,https://codeforces.com/problemset/problem/147/b,2300,"Matrix exponentiation, graph, DP"
Codeforces,Matrix Exponentiation,115A - Party,https://codeforces.com/problemset/problem/115/a,900,Matrix exponentiation
Codeforces,Matrix Exponentiation,111D - Petya and Coloring,https://codeforces.com/problemset/problem/111/d,2800,"Matrix exponentiation, combinatorics"
Codeforces,Matrix Exponentiation,106C - Buns,https://codeforces.com/problemset/problem/106/c,1700,"Matrix exponentiation, DP"
Codeforces,Matrix Exponentiation,93B - End of Exams,https://codeforces.com/problemset/problem/93/b,1800,Matrix operations
Codeforces,Matrix Exponentiation,82A - Double Cola,https://codeforces.com/problemset/problem/82/a,1100,Matrix exponentiation
Codeforces,Matrix Exponentiation,75C - Modified GCD,https://codeforces.com/problemset/problem/75/c,1600,Matrix operations
Codeforces,Matrix Exponentiation,73C - LionAge II,https://codeforces.com/problemset/problem/73/c,1900,"Matrix exponentiation, DP"
Codeforces,Matrix Exponentiation,67A - Partial Teacher,https://codeforces.com/problemset/problem/67/a,1300,Matrix operations
Codeforces,Matrix Exponentiation,60C - Mushroom Strife,https://codeforces.com/problemset/problem/60/c,1800,"Matrix operations, graph"
Codeforces,Linear Recurrence,821E - Okabe and El Psy Kongroo,https://codeforces.com/problemset/problem/821/e,2100,"Matrix exponentiation, linear recurrence"
Codeforces,Linear Recurrence,719E - Sasha and Array,https://codeforces.com/problemset/problem/719/e,2400,"Matrix exponentiation, segment tree"
Codeforces,Linear Recurrence,621E - Wet Shark and Blocks,https://codeforces.com/problemset/problem/621/e,1800,"Matrix exponentiation, DP"
Codeforces,Linear Recurrence,591C - Median Smoothing,https://codeforces.com/problemset/problem/591/c,1600,Matrix operations
