Platform,Category,Problem Name,URL,Difficulty,Key Concept
AtCoder,Doubly Linked List,ABC 237 D - LR insertion,https://atcoder.jp/contests/abc237/tasks/abc237_d,544,Doubly linked list construction from LR string
AtCoder,Ordered / Sorted Insert,ABC 217 D - Cutting Woods,https://atcoder.jp/contests/abc217/tasks/abc217_d,802,Ordered set maintaining cut segments
AtCoder,Doubly Linked List,ABC 344 E - Insert or Erase,https://atcoder.jp/contests/abc344/tasks/abc344_e,973,Doubly linked list with map-based iterator storage
AtCoder,Deletion,ABC 421 F - Erase between X and Y,https://atcoder.jp/contests/abc421/tasks/abc421_f,1805,Linked list simulation with next pointers
Codeforces,Implementation,843B - Interactive LowerBound,https://codeforces.com/problemset/problem/843/B,1800,Interactive search on singly linked list
Codeforces,Doubly Linked List,847A - Union of Doubly Linked Lists,https://codeforces.com/problemset/problem/847/A,1500,Merging multiple doubly linked lists into one
Codeforces,Deletion,1482D - Playlist (GCD Deletion),https://codeforces.com/problemset/problem/1482/D,1900,Cyclic linked list deletion with GCD condition
Codeforces,Deletion,1484D - Playlist (same as 1482D),https://codeforces.com/problemset/problem/1484/D,1900,Cyclic linked list deletion with GCD condition
Codeforces,Simulation,490B - Queue,https://codeforces.com/problemset/problem/490/B,1500,Reconstruct linked list from predecessor/successor pairs
Codeforces,Simulation,637B - Chat Order,https://codeforces.com/problemset/problem/637/B,1100,Move-to-front linked list simulation
Codeforces,Simulation,1179A - Valeriy and Deque,https://codeforces.com/problemset/problem/1179/A,1500,Deque simulation with cyclic pattern
Codeforces,Simulation,1180C - Valeriy and Deque,https://codeforces.com/problemset/problem/1180/C,1500,Deque simulation with cyclic pattern
Codeforces,Simulation,1237D - Balanced Playlist,https://codeforces.com/problemset/problem/1237/D,2000,Cyclic playlist with monotonic queue
Codeforces,Circular Linked List,1095D - Circular Dance,https://codeforces.com/problemset/problem/1095/D,1600,Reconstruct circular order from neighbor data
Codeforces,Circular Linked List,1761B - Elimination of a Ring,https://codeforces.com/problemset/problem/1761/B,1100,Cyclic sequence deletion simulation
Codeforces,Simulation,264A - Escape from Stones,https://codeforces.com/problemset/problem/264/A,1200,Linked list insertion (deque simulation)
Codeforces,Deletion,899E - Segments Removal,https://codeforces.com/problemset/problem/899/E,2300,Linked list with DSU for merging segments
Codeforces,Simulation,1471B - Strange List,https://codeforces.com/problemset/problem/1471/B,1100,List append simulation with divisibility
Codeforces,Sorting,605A - Sorting Railway Cars,https://codeforces.com/problemset/problem/605/A,1600,Longest increasing subsequence on linked structure
Codeforces,Circular Linked List,366B - Dima and To-do List,https://codeforces.com/problemset/problem/366/B,1200,Circular list traversal
Codeforces,Simulation,302B - Eugeny and Play List,https://codeforces.com/problemset/problem/302/B,1200,Cumulative list binary search
Codeforces,Deletion,1670B - Dorms War,https://codeforces.com/problemset/problem/1670/B,1100,Linked list deletion simulation
Codeforces,Circular Linked List,2208B - Cyclists,https://codeforces.com/problemset/problem/2208/B,1100,Cyclic array problem
Codeforces,Circular Linked List,1905D - Cyclic MEX,https://codeforces.com/problemset/problem/1905/D,2000,Cyclic array with sliding window
Codeforces,Circular Linked List,1867D - Cyclic Operations,https://codeforces.com/problemset/problem/1867/D,1800,Cyclic permutation operations
Codeforces,Circular Linked List,1672D - Cyclic Rotation,https://codeforces.com/problemset/problem/1672/D,1700,Cyclic rotation verification
Codeforces,Circular Linked List,722F - Cyclic Cipher,https://codeforces.com/problemset/problem/722/F,2800,Cyclic sequences with CRT
Codeforces,Circular Linked List,708A - Letters Cyclic Shift,https://codeforces.com/problemset/problem/708/A,1200,Cyclic character shift
Codeforces,Circular Linked List,745A - Hongcow Learns the Cyclic Shift,https://codeforces.com/problemset/problem/745/A,900,Cyclic string shifts
Codeforces,Simulation,545D - Queue,https://codeforces.com/problemset/problem/545/D,1300,Queue simulation with sorted order
Codeforces,Simulation,266B - Queue at the School,https://codeforces.com/problemset/problem/266/B,800,Queue swap simulation
Codeforces,Simulation,920B - Tea Queue,https://codeforces.com/problemset/problem/920/B,1200,Queue processing simulation
Codeforces,Simulation,435A - Queue on Bus Stop,https://codeforces.com/problemset/problem/435/A,1000,Queue grouping simulation
Codeforces,Simulation,1239C - Queue in the Train,https://codeforces.com/problemset/problem/1239/C,2300,Queue simulation with priority
Codeforces,Simulation,1692E - Binary Deque,https://codeforces.com/problemset/problem/1692/E,1200,Deque with binary values
Codeforces,Simulation,1542D - Priority Queue,https://codeforces.com/problemset/problem/1542/D,2200,Priority queue simulation with DP
Codeforces,Simulation,1899E - Queue Sort,https://codeforces.com/problemset/problem/1899/E,1300,Queue sorting simulation
Codeforces,Simulation,1523C - Compression and Expansion,https://codeforces.com/problemset/problem/1523/C,1500,Nested list reconstruction simulation
Codeforces,Simulation,916D - Jamie and To-do List,https://codeforces.com/problemset/problem/916/D,2400,Persistent undo list with order statistics
Codeforces,Sorting,1140C - Playlist,https://codeforces.com/problemset/problem/1140/C,1600,Sorting songs with min-beauty constraint
Codeforces,Simulation,268E - Playlist,https://codeforces.com/problemset/problem/268/E,2200,Expected value with playlist ordering
Codeforces,Simulation,1950G - Shuffling Songs,https://codeforces.com/problemset/problem/1950/G,1600,Playlist rearrangement as Hamiltonian path
