Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,Math,2. Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,Math
LeetCode,Math,7. Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,Math
LeetCode,Math,9. Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,Math
LeetCode,Math,12. Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,Math
LeetCode,Math,13. Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,Math
LeetCode,Math,29. Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,Medium,Math
LeetCode,Math,43. Multiply Strings,https://leetcode.com/problems/multiply-strings/,Medium,Math
LeetCode,Math,48. Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,Math
LeetCode,Math,50. Pow(x, n),https://leetcode.com/problems/powx-n/,Medium,Math
LeetCode,Math,60. Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,Math
LeetCode,Math,62. Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,Math
LeetCode,Math,66. Plus One,https://leetcode.com/problems/plus-one/,Easy,Math
LeetCode,Math,67. Add Binary,https://leetcode.com/problems/add-binary/,Easy,Math
LeetCode,Math,69. Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,Math
LeetCode,Math,70. Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,Math
LeetCode,Math,89. Gray Code,https://leetcode.com/problems/gray-code/,Medium,Math
LeetCode,Math,96. Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/,Medium,Math
LeetCode,Math,149. Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,Math
LeetCode,Math,150. Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,Math
LeetCode,Math,166. Fraction to Recurring Decimal,https://leetcode.com/problems/fraction-to-recurring-decimal/,Medium,Math
LeetCode,Math,168. Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/,Easy,Math
LeetCode,Math,171. Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,Easy,Math
LeetCode,Math,172. Factorial Trailing Zeroes,https://leetcode.com/problems/factorial-trailing-zeroes/,Medium,Math
LeetCode,Math,189. Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,Math
LeetCode,Math,202. Happy Number,https://leetcode.com/problems/happy-number/,Easy,Math
LeetCode,Math,204. Count Primes,https://leetcode.com/problems/count-primes/,Medium,Math
LeetCode,Math,223. Rectangle Area,https://leetcode.com/problems/rectangle-area/,Medium,Math
LeetCode,Math,224. Basic Calculator,https://leetcode.com/problems/basic-calculator/,Hard,Math
LeetCode,Math,227. Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,Medium,Math
LeetCode,Math,231. Power of Two,https://leetcode.com/problems/power-of-two/,Easy,Math
LeetCode,Math,233. Number of Digit One,https://leetcode.com/problems/number-of-digit-one/,Hard,Math
LeetCode,Math,241. Different Ways to Add Parentheses,https://leetcode.com/problems/different-ways-to-add-parentheses/,Medium,Math
LeetCode,Math,258. Add Digits,https://leetcode.com/problems/add-digits/,Easy,Math
LeetCode,Math,263. Ugly Number,https://leetcode.com/problems/ugly-number/,Easy,Math
LeetCode,Math,264. Ugly Number II,https://leetcode.com/problems/ugly-number-ii/,Medium,Math
LeetCode,Math,268. Missing Number,https://leetcode.com/problems/missing-number/,Easy,Math
LeetCode,Math,273. Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,Hard,Math
LeetCode,Math,279. Perfect Squares,https://leetcode.com/problems/perfect-squares/,Medium,Math
LeetCode,Math,282. Expression Add Operators,https://leetcode.com/problems/expression-add-operators/,Hard,Math
LeetCode,Math,292. Nim Game,https://leetcode.com/problems/nim-game/,Easy,Math
LeetCode,Math,294. Flip Game II,https://leetcode.com/problems/flip-game-ii/,Medium,Math
LeetCode,Math,296. Best Meeting Point,https://leetcode.com/problems/best-meeting-point/,Hard,Math
LeetCode,Math,313. Super Ugly Number,https://leetcode.com/problems/super-ugly-number/,Medium,Math
LeetCode,Math,319. Bulb Switcher,https://leetcode.com/problems/bulb-switcher/,Medium,Math
LeetCode,Math,326. Power of Three,https://leetcode.com/problems/power-of-three/,Easy,Math
LeetCode,Math,335. Self Crossing,https://leetcode.com/problems/self-crossing/,Hard,Math
LeetCode,Math,342. Power of Four,https://leetcode.com/problems/power-of-four/,Easy,Math
LeetCode,Math,343. Integer Break,https://leetcode.com/problems/integer-break/,Medium,Math
LeetCode,Math,356. Line Reflection,https://leetcode.com/problems/line-reflection/,Medium,Math
LeetCode,Math,357. Count Numbers with Unique Digits,https://leetcode.com/problems/count-numbers-with-unique-digits/,Medium,Math
LeetCode,Math,360. Sort Transformed Array,https://leetcode.com/problems/sort-transformed-array/,Medium,Math
LeetCode,Math,365. Water and Jug Problem,https://leetcode.com/problems/water-and-jug-problem/,Medium,Math
LeetCode,Math,367. Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square/,Easy,Math
LeetCode,Math,368. Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/,Medium,Math
LeetCode,Math,369. Plus One Linked List,https://leetcode.com/problems/plus-one-linked-list/,Medium,Math
LeetCode,Math,371. Sum of Two Integers,https://leetcode.com/problems/sum-of-two-integers/,Medium,Math
LeetCode,Math,372. Super Pow,https://leetcode.com/problems/super-pow/,Medium,Math
LeetCode,Math,375. Guess Number Higher or Lower II,https://leetcode.com/problems/guess-number-higher-or-lower-ii/,Medium,Math
LeetCode,Math,380. Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/,Medium,Math
LeetCode,Math,381. Insert Delete GetRandom O(1) - Duplicates allowed,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/,Hard,Math
LeetCode,Math,382. Linked List Random Node,https://leetcode.com/problems/linked-list-random-node/,Medium,Math
LeetCode,Math,384. Shuffle an Array,https://leetcode.com/problems/shuffle-an-array/,Medium,Math
LeetCode,Math,390. Elimination Game,https://leetcode.com/problems/elimination-game/,Medium,Math
LeetCode,Math,391. Perfect Rectangle,https://leetcode.com/problems/perfect-rectangle/,Hard,Math
LeetCode,Math,396. Rotate Function,https://leetcode.com/problems/rotate-function/,Medium,Math
LeetCode,Math,398. Random Pick Index,https://leetcode.com/problems/random-pick-index/,Medium,Math
LeetCode,Math,400. Nth Digit,https://leetcode.com/problems/nth-digit/,Medium,Math
LeetCode,Math,405. Convert a Number to Hexadecimal,https://leetcode.com/problems/convert-a-number-to-hexadecimal/,Easy,Math
