Platform,Category,Problem Name,URL,Difficulty,Key Concept
Baekjoon,15-Puzzle,1035 - Puzzle,https://www.acmicpc.net/problem/1035,Gold 1,Puzzle movement with BFS
LightOJ,15-Puzzle,1121 - 15 Puzzle,https://lightoj.com/problem/15-puzzle,Hard,15 puzzle solution existence
HackerRank,15-Puzzle,15 Puzzle,https://www.hackerrank.com/challenges/15-puzzle/problem,Hard,15-puzzle solver
GeeksforGeeks,15-Puzzle,15 Puzzle Game: Existence of Solution,https://www.geeksforgeeks.org/check-instance-15-puzzle-solvable/,Hard,Solvability check using inversions
Baekjoon,15-Puzzle,1525 - Puzzle,https://www.acmicpc.net/problem/1525,Gold 2,N-puzzle BFS with hash
LeetCode,15-Puzzle,773. Sliding Puzzle,https://leetcode.com/problems/sliding-puzzle/,Hard,BFS on 2x3 board state space
SPOJ,15-Puzzle,PUZZLE - 15 Puzzle,https://www.spoj.com/problems/PUZZLE/,Hard,15 puzzle solver using BFS/A*
LeetCode,Boyer-Moore Voting,169. Majority Element,https://leetcode.com/problems/majority-element/,Easy,Boyer-Moore majority vote algorithm
Codeforces,Boyer-Moore Voting,1730C - Minimum Notation,https://codeforces.com/problemset/problem/1730/C,1200,Greedy with majority-like logic
LeetCode,Boyer-Moore Voting,229. Majority Element II,https://leetcode.com/problems/majority-element-ii/,Medium,Boyer-Moore extended to n/3
GeeksforGeeks,Boyer-Moore Voting,Majority Element (Boyer-Moore),https://www.geeksforgeeks.org/boyer-moore-majority-voting-algorithm/,Medium,Linear time majority element
Codeforces,Farey Sequence,113B - Petr#,https://codeforces.com/problemset/problem/113/B,2000,String matching with Farey-like enumeration
Baekjoon,Farey Sequence,11694 - Farey Sequence,https://www.acmicpc.net/problem/11694,Platinum 5,Farey sequence with totient
LeetCode,Farey Sequence,1447. Simplified Fractions,https://leetcode.com/problems/simplified-fractions/,Medium,Enumerate all reduced fractions
Codeforces,Farey Sequence,1744F - Create the Teams,https://codeforces.com/problemset/problem/1744/F,1600,Farey-like interval counting
POJ,Farey Sequence,2478 - Farey Sequence,http://poj.org/problem?id=2478,Medium,Farey sequence using Euler totient
LeetCode,Farey Sequence,592. Fraction Addition and Subtraction,https://leetcode.com/problems/fraction-addition-and-subtraction/,Medium,Fraction arithmetic
Baekjoon,Farey Sequence,6543 - Farey Sequence,https://www.acmicpc.net/problem/6543,Gold 3,Length of Farey sequence
AtCoder,Farey Sequence,ABC 230 F - Predilection,https://atcoder.jp/contests/abc230/tasks/abc230_f,1840,DP with Farey-like enumeration
SPOJ,Farey Sequence,DIV - Divisors and Fibonacci,https://www.spoj.com/problems/DIV/,Hard,Farey and Euler totient
SPOJ,Farey Sequence,FAREY - Farey Sequence,https://www.spoj.com/problems/FAREY/,Medium,Length of Farey sequence
SPOJ,Farey Sequence,FRACT - Fractions,https://www.spoj.com/problems/FRACT/,Hard,Fraction enumeration with Farey
GeeksforGeeks,Farey Sequence,Farey Sequence,https://www.geeksforgeeks.org/farey-sequence/,Medium,Generate Farey sequence of order n
E-Olymp,Farey Sequence,Farey Sequence,https://www.e-olymp.com/en/problems/693,Medium,Generate Farey sequence
GeeksforGeeks,Farey Sequence,Farey Sequence (Practice),https://www.geeksforgeeks.org/problems/farey-sequence/0,Medium,Farey sequence of order n
GeeksforGeeks,Farey Sequence,Farey Sequence using Euler Totient,https://www.geeksforgeeks.org/program-farey-sequence-using-euler-totient-function/,Medium,Totient-based Farey length
Codeforces,Josephus,101955K - Let the Flames Begin,https://codeforces.com/problemset/problem/101955/K,3000,Josephus problem with large constraints
Baekjoon,Josephus,11025 - Josephus Problem 3,https://www.acmicpc.net/problem/11025,Gold 4,Josephus O(n) formula
Baekjoon,Josephus,1158 - Josephus Problem,https://www.acmicpc.net/problem/1158,Silver 4,Josephus permutation
Baekjoon,Josephus,1168 - Josephus Problem 2,https://www.acmicpc.net/problem/1168,Gold 2,Josephus with segment tree
LightOJ,Josephus,1179 - Josephus Problem,https://lightoj.com/problem/josephus-problem,Medium,Josephus problem recursive solution
Baekjoon,Josephus,11866 - Josephus Problem 0,https://www.acmicpc.net/problem/11866,Silver 4,Josephus sequence output
LeetCode,Josephus,1823. Find the Winner of the Circular Game,https://leetcode.com/problems/find-the-winner-of-the-circular-game/,Medium,Josephus problem simulation
LeetCode,Josephus,390. Elimination Game,https://leetcode.com/problems/elimination-game/,Medium,Josephus variant with alternating direction
Codeforces,Josephus,792B - Counting-out Rhyme,https://codeforces.com/problemset/problem/792/B,1200,Josephus simulation with queue
HackerRank,Josephus,Counter Game,https://www.hackerrank.com/challenges/counter-game/problem,Medium,Josephus-like elimination game
SPOJ,Josephus,JOSEPH - Josephus Problem,https://www.spoj.com/problems/JOSEPH/,Medium,Classic Josephus problem
GeeksforGeeks,Josephus,Josephus Problem,https://www.geeksforgeeks.org/josephus-problem/,Hard,Circular elimination O(n) solution
CSES,Josephus,Josephus Problem,https://cses.fi/problemset/task/2162,Easy,Josephus problem simulation
Coding Ninjas,Josephus,Josephus Problem,https://www.codingninjas.com/studio/problems/josephus-problem_2535799,Medium,Circular elimination simulation
CodeAbbey,Josephus,Josephus Problem,https://www.codeabbey.com/index/task_view/josephus-problem,Medium,Basic Josephus problem
CSES,Josephus,Josephus Problem II,https://cses.fi/problemset/task/2163,Medium,Josephus with removal order
GeeksforGeeks,Josephus,Josephus Problem using BIT,https://www.geeksforgeeks.org/josephus-problem-using-bit/,Hard,Fenwick tree O(n log n)
GeeksforGeeks,Josephus,Josephus Problem with XOR,https://www.geeksforgeeks.org/josephus-problem-with-xor/,Hard,XOR-based elimination
GeeksforGeeks,Josephus,Josephus circle using circular linked list,https://www.geeksforgeeks.org/josephus-circle-using-circular-linked-list/,Medium,Circular linked list simulation
SPOJ,Josephus,ORDERS - Ordering the Soldiers,https://www.spoj.com/problems/ORDERS/,Medium,Josephus-like inverse problem
