Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,Segment Tree,0218. The Skyline Problem,https://leetcode.com/problems/the-skyline-problem,Hard,Tag: segment-tree
LeetCode,Segment Tree,0307. Range Sum Query - Mutable,https://leetcode.com/problems/range-sum-query-mutable,Medium,Tag: segment-tree
LeetCode,Segment Tree,0308. Range Sum Query 2D - Mutable,https://leetcode.com/problems/range-sum-query-2d-mutable,Medium,Tag: segment-tree
LeetCode,Segment Tree,0315. Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self,Hard,Tag: segment-tree
LeetCode,Segment Tree,0327. Count of Range Sum,https://leetcode.com/problems/count-of-range-sum,Hard,Tag: segment-tree
LeetCode,Segment Tree,0406. Queue Reconstruction by Height,https://leetcode.com/problems/queue-reconstruction-by-height,Medium,Tag: segment-tree
LeetCode,Segment Tree,0493. Reverse Pairs,https://leetcode.com/problems/reverse-pairs,Hard,Tag: segment-tree
LeetCode,Segment Tree,0510. Count Subarrays With More Ones Than Zeros,https://leetcode.com/problems/count-subarrays-with-more-ones-than-zeros,Medium,Tag: segment-tree
LeetCode,Segment Tree,0673. Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,Medium,Tag: segment-tree
LeetCode,Segment Tree,0683. K Empty Slots,https://leetcode.com/problems/k-empty-slots,Hard,Tag: segment-tree
LeetCode,Segment Tree,0699. Falling Squares,https://leetcode.com/problems/falling-squares,Hard,Tag: segment-tree
LeetCode,Segment Tree,0715. Range Module,https://leetcode.com/problems/range-module,Hard,Tag: segment-tree
LeetCode,Segment Tree,0729. My Calendar I,https://leetcode.com/problems/my-calendar-i,Medium,Tag: segment-tree
LeetCode,Segment Tree,0731. My Calendar II,https://leetcode.com/problems/my-calendar-ii,Medium,Tag: segment-tree
LeetCode,Segment Tree,0732. My Calendar III,https://leetcode.com/problems/my-calendar-iii,Hard,Tag: segment-tree
LeetCode,Segment Tree,0880. Rectangle Area II,https://leetcode.com/problems/rectangle-area-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,1262. Online Majority Element In Subarray,https://leetcode.com/problems/online-majority-element-in-subarray,Hard,Tag: segment-tree
LeetCode,Segment Tree,1294. Range Frequency Queries,https://leetcode.com/problems/range-frequency-queries,Medium,Tag: segment-tree
LeetCode,Segment Tree,1511. Count Number of Teams,https://leetcode.com/problems/count-number-of-teams,Medium,Tag: segment-tree
LeetCode,Segment Tree,1629. Minimum Possible Integer After at Most K Adjacent Swaps On Digits,https://leetcode.com/problems/minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,Hard,Tag: segment-tree
LeetCode,Segment Tree,1645. Find a Value of a Mysterious Function Closest to Target,https://leetcode.com/problems/find-a-value-of-a-mysterious-function-closest-to-target,Hard,Tag: segment-tree
LeetCode,Segment Tree,1728. Fancy Sequence,https://leetcode.com/problems/fancy-sequence,Hard,Tag: segment-tree
LeetCode,Segment Tree,1772. Create Sorted Array through Instructions,https://leetcode.com/problems/create-sorted-array-through-instructions,Hard,Tag: segment-tree
LeetCode,Segment Tree,1789. Delivering Boxes from Storage to Ports,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports,Hard,Tag: segment-tree
LeetCode,Segment Tree,2280. Count Good Triplets in an Array,https://leetcode.com/problems/count-good-triplets-in-an-array,Hard,Tag: segment-tree
LeetCode,Segment Tree,2297. Amount of New Area Painted Each Day,https://leetcode.com/problems/amount-of-new-area-painted-each-day,Hard,Tag: segment-tree
LeetCode,Segment Tree,2319. Longest Substring of One Repeating Character,https://leetcode.com/problems/longest-substring-of-one-repeating-character,Hard,Tag: segment-tree
LeetCode,Segment Tree,2357. Count Integers in Intervals,https://leetcode.com/problems/count-integers-in-intervals,Hard,Tag: segment-tree
LeetCode,Segment Tree,2380. Booking Concert Tickets in Groups,https://leetcode.com/problems/booking-concert-tickets-in-groups,Hard,Tag: segment-tree
LeetCode,Segment Tree,2512. Longest Uploaded Prefix,https://leetcode.com/problems/longest-uploaded-prefix,Medium,Tag: segment-tree
LeetCode,Segment Tree,2513. Number of Pairs Satisfying Inequality,https://leetcode.com/problems/number-of-pairs-satisfying-inequality,Hard,Tag: segment-tree
LeetCode,Segment Tree,2526. Longest Increasing Subsequence II,https://leetcode.com/problems/longest-increasing-subsequence-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,2658. Count the Number of K-Big Indices,https://leetcode.com/problems/count-the-number-of-k-big-indices,Hard,Tag: segment-tree
LeetCode,Segment Tree,2703. Handling Sum Queries After Update,https://leetcode.com/problems/handling-sum-queries-after-update,Hard,Tag: segment-tree
LeetCode,Segment Tree,2765. Make Array Empty,https://leetcode.com/problems/make-array-empty,Hard,Tag: segment-tree
LeetCode,Segment Tree,2839. Maximum Sum Queries,https://leetcode.com/problems/maximum-sum-queries,Hard,Tag: segment-tree
LeetCode,Segment Tree,3139. Subarrays Distinct Element Sum of Squares II,https://leetcode.com/problems/subarrays-distinct-element-sum-of-squares-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,3181. Find Building Where Alice and Bob Can Meet,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet,Hard,Tag: segment-tree
LeetCode,Segment Tree,3184. Maximum Balanced Subsequence Sum,https://leetcode.com/problems/maximum-balanced-subsequence-sum,Hard,Tag: segment-tree
LeetCode,Segment Tree,3187. Maximum Profitable Triplets With Increasing Prices I,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-i,Medium,Tag: segment-tree
LeetCode,Segment Tree,3204. Maximum Profitable Triplets With Increasing Prices II,https://leetcode.com/problems/maximum-profitable-triplets-with-increasing-prices-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,3350. Distribute Elements Into Two Arrays II,https://leetcode.com/problems/distribute-elements-into-two-arrays-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,3364. Minimum Sum of Values by Dividing Array,https://leetcode.com/problems/minimum-sum-of-values-by-dividing-array,Hard,Tag: segment-tree
LeetCode,Segment Tree,3417. Find the Index of Permutation,https://leetcode.com/problems/find-the-index-of-permutation,Medium,Tag: segment-tree
LeetCode,Segment Tree,3423. Maximum Sum of Subsequence With Non-adjacent Elements,https://leetcode.com/problems/maximum-sum-of-subsequence-with-non-adjacent-elements,Hard,Tag: segment-tree
LeetCode,Segment Tree,3435. Block Placement Queries,https://leetcode.com/problems/block-placement-queries,Hard,Tag: segment-tree
LeetCode,Segment Tree,3436. Find Subarray With Bitwise OR Closest to K,https://leetcode.com/problems/find-subarray-with-bitwise-or-closest-to-k,Hard,Tag: segment-tree
LeetCode,Segment Tree,3438. Peaks in Array,https://leetcode.com/problems/peaks-in-array,Hard,Tag: segment-tree
LeetCode,Segment Tree,3466. Number of Subarrays With AND Value of K,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k,Hard,Tag: segment-tree
LeetCode,Segment Tree,3557. Minimum Number of Valid Strings to Form Target II,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,3559. Minimum Number of Valid Strings to Form Target I,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-i,Medium,Tag: segment-tree
LeetCode,Segment Tree,3674. Count Non-Decreasing Subarrays After K Operations,https://leetcode.com/problems/count-non-decreasing-subarrays-after-k-operations,Hard,Tag: segment-tree
LeetCode,Segment Tree,3681. Maximum Area Rectangle With Point Constraints I,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-i,Medium,Tag: segment-tree
LeetCode,Segment Tree,3688. Maximize Subarray Sum After Removing All Occurrences of One Element,https://leetcode.com/problems/maximize-subarray-sum-after-removing-all-occurrences-of-one-element,Hard,Tag: segment-tree
LeetCode,Segment Tree,3689. Maximum Area Rectangle With Point Constraints II,https://leetcode.com/problems/maximum-area-rectangle-with-point-constraints-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,3775. Separate Squares II,https://leetcode.com/problems/separate-squares-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,3789. Maximize Subarrays After Removing One Conflicting Pair,https://leetcode.com/problems/maximize-subarrays-after-removing-one-conflicting-pair,Hard,Tag: segment-tree
LeetCode,Segment Tree,3790. Fruits Into Baskets II,https://leetcode.com/problems/fruits-into-baskets-ii,Easy,Tag: segment-tree
LeetCode,Segment Tree,3791. Fruits Into Baskets III,https://leetcode.com/problems/fruits-into-baskets-iii,Medium,Tag: segment-tree
LeetCode,Segment Tree,3804. Maximize Active Section with Trade II,https://leetcode.com/problems/maximize-active-section-with-trade-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,3829. Shortest Path in a Weighted Tree,https://leetcode.com/problems/shortest-path-in-a-weighted-tree,Hard,Tag: segment-tree
LeetCode,Segment Tree,3840. Find X Value of Array II,https://leetcode.com/problems/find-x-value-of-array-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,3861. Minimum Threshold for Inversion Pairs Count,https://leetcode.com/problems/minimum-threshold-for-inversion-pairs-count,Medium,Tag: segment-tree
LeetCode,Segment Tree,3878. Maximize Count of Distinct Primes After Split,https://leetcode.com/problems/maximize-count-of-distinct-primes-after-split,Hard,Tag: segment-tree
LeetCode,Segment Tree,3920. Minimum Stability Factor of Array,https://leetcode.com/problems/minimum-stability-factor-of-array,Hard,Tag: segment-tree
LeetCode,Segment Tree,3941. Number of Integers With Popcount-Depth Equal to K II,https://leetcode.com/problems/number-of-integers-with-popcount-depth-equal-to-k-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,4007. Maximum Total Subarray Value II,https://leetcode.com/problems/maximum-total-subarray-value-ii,Hard,Tag: segment-tree
LeetCode,Segment Tree,4022. Minimum Operations to Equalize Subarrays,https://leetcode.com/problems/minimum-operations-to-equalize-subarrays,Hard,Tag: segment-tree
LeetCode,Segment Tree,4045. Longest Balanced Subarray I,https://leetcode.com/problems/longest-balanced-subarray-i,Medium,Tag: segment-tree
