Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,Fixed-Size Window,643. Maximum Average Subarray I,https://leetcode.com/problems/maximum-average-subarray-i/,Easy,Fixed-size window average
LeetCode,Fixed-Size Window,1343. Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold/,Medium,Fixed-size window average threshold
LeetCode,Fixed-Size Window,1987. Substrings of Size Three with Distinct Characters,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters/,Easy,Fixed-size distinct check
LeetCode,Fixed-Size Window,219. Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii/,Easy,Fixed-size hashset sliding
LeetCode,Fixed-Size Window,187. Repeated DNA Sequences,https://leetcode.com/problems/repeated-dna-sequences/,Medium,Fixed-size rolling hash
LeetCode,Fixed-Size Window,239. Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,Monotonic deque fixed-size max
LeetCode,Fixed-Size Window,480. Sliding Window Median,https://leetcode.com/problems/sliding-window-median/,Hard,Two-heap sliding median
LeetCode,Fixed-Size Window,567. Permutation in String,https://leetcode.com/problems/permutation-in-string/,Medium,Fixed-size frequency permutation
LeetCode,Fixed-Size Window,438. Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Medium,Fixed-size anagram indices
LeetCode,Fixed-Size Window,1456. Maximum Number of Vowels in a Substring of Given Length,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length/,Medium,Fixed-size vowel count
LeetCode,Fixed-Size Window,1052. Grumpy Bookstore Owner,https://leetcode.com/problems/grumpy-bookstore-owner/,Medium,Fixed-size max satisfaction
LeetCode,Fixed-Size Window,1652. Defuse the Bomb,https://leetcode.com/problems/defuse-the-bomb/,Easy,Fixed-size circular sliding sum
LeetCode,Fixed-Size Window,2090. K Radius Subarray Averages,https://leetcode.com/problems/k-radius-subarray-averages/,Medium,Fixed-size prefix-sum window average
LeetCode,Fixed-Size Window,2269. Find the K-Beauty of a Number,https://leetcode.com/problems/find-the-k-beauty-of-a-number/,Easy,Fixed-size digit window divisor
LeetCode,Fixed-Size Window,2379. Minimum Recolors to Get K Consecutive Black Blocks,https://leetcode.com/problems/minimum-recolors-to-get-k-consecutive-black-blocks/,Easy,Fixed-size min recolor
LeetCode,Fixed-Size Window,2461. Maximum Sum of Distinct Subarrays With Length K,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/,Medium,Fixed-size distinct sum hashmap
LeetCode,Fixed-Size Window,2841. Maximum Sum of Almost Unique Subarray,https://leetcode.com/problems/maximum-sum-of-almost-unique-subarray/,Medium,Fixed-size almost-unique sum
LeetCode,Fixed-Size Window,2958. Length of Longest Subarray With at Most K Frequency,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/,Medium,Variable-size frequency cap
LeetCode,Fixed-Size Window,3090. Maximum Length Substring With Two Occurrences,https://leetcode.com/problems/maximum-length-substring-with-two-occurrences/,Easy,Variable-size at most 2 occurrences
LeetCode,Fixed-Size Window,3206. Alternating Groups I,https://leetcode.com/problems/alternating-groups-i/,Easy,Fixed-size circular alternating
LeetCode,Fixed-Size Window,3208. Alternating Groups II,https://leetcode.com/problems/alternating-groups-ii/,Medium,Fixed-size circular alternating
LeetCode,Fixed-Size Window,1096. Maximum Sum of Two Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays/,Medium,DP + fixed-size windows
LeetCode,Fixed-Size Window,1151. Minimum Swaps to Group All 1's Together,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together/,Medium,Fixed-size min swaps ones
LeetCode,Fixed-Size Window,2134. Minimum Swaps to Group All 1's Together II,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii/,Medium,Fixed-size circular min swaps
LeetCode,Fixed-Size Window,1176. Diet Plan Performance,https://leetcode.com/problems/diet-plan-performance/,Easy,Fixed-size sliding sum
