Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,String,3. Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,String
LeetCode,String,5. Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,String
LeetCode,String,6. Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,String
LeetCode,String,8. String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,String
LeetCode,String,10. Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,String
LeetCode,String,12. Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,String
LeetCode,String,13. Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,String
LeetCode,String,14. Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,String
LeetCode,String,17. Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,String
LeetCode,String,20. Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,String
LeetCode,String,22. Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,String
LeetCode,String,28. Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,String
LeetCode,String,30. Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,Hard,String
LeetCode,String,32. Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,String
LeetCode,String,38. Count and Say,https://leetcode.com/problems/count-and-say/,Medium,String
LeetCode,String,43. Multiply Strings,https://leetcode.com/problems/multiply-strings/,Medium,String
LeetCode,String,44. Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,String
LeetCode,String,49. Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,String
LeetCode,String,58. Length of Last Word,https://leetcode.com/problems/length-of-last-word/,Easy,String
LeetCode,String,65. Valid Number,https://leetcode.com/problems/valid-number/,Hard,String
LeetCode,String,67. Add Binary,https://leetcode.com/problems/add-binary/,Easy,String
LeetCode,String,68. Text Justification,https://leetcode.com/problems/text-justification/,Hard,String
LeetCode,String,71. Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,String
LeetCode,String,72. Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,String
LeetCode,String,76. Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,String
LeetCode,String,79. Word Search,https://leetcode.com/problems/word-search/,Medium,String
LeetCode,String,87. Scramble String,https://leetcode.com/problems/scramble-string/,Hard,String
LeetCode,String,91. Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,String
LeetCode,String,93. Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,String
LeetCode,String,97. Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,String
LeetCode,String,115. Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,String
LeetCode,String,125. Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,String
LeetCode,String,126. Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,String
LeetCode,String,127. Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,String
LeetCode,String,131. Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,String
LeetCode,String,132. Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,Hard,String
LeetCode,String,139. Word Break,https://leetcode.com/problems/word-break/,Medium,String
LeetCode,String,140. Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,String
LeetCode,String,151. Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,String
LeetCode,String,159. Longest Substring with At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,Medium,String
LeetCode,String,161. One Edit Distance,https://leetcode.com/problems/one-edit-distance/,Medium,String
LeetCode,String,165. Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,Medium,String
LeetCode,String,166. Fraction to Recurring Decimal,https://leetcode.com/problems/fraction-to-recurring-decimal/,Medium,String
LeetCode,String,168. Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/,Easy,String
LeetCode,String,171. Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,Easy,String
LeetCode,String,179. Largest Number,https://leetcode.com/problems/largest-number/,Medium,String
LeetCode,String,186. Reverse Words in a String II,https://leetcode.com/problems/reverse-words-in-a-string-ii/,Medium,String
LeetCode,String,187. Repeated DNA Sequences,https://leetcode.com/problems/repeated-dna-sequences/,Medium,String
LeetCode,String,205. Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,String
LeetCode,String,208. Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,String
LeetCode,String,211. Design Add and Search Words Data Structure,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Medium,String
