Platform,Category,Problem Name,URL,Difficulty,Key Concept
AtCoder,Tree Construction,ABC 065 D - Built?,https://atcoder.jp/contests/abc065/tasks/abc065_d,1300,MST / Coordinate MST
AtCoder,Tree Games,ABC 067 D - Fennec vs. Snuke,https://atcoder.jp/contests/abc067/tasks/abc067_d,1200,Tree Game / BFS Distance
AtCoder,Tree Traversal,ABC 115 D - Christmas,https://atcoder.jp/contests/abc115/tasks/abc115_d,1400,Recursive Tree / Fractal
AtCoder,Tree Traversal,ABC 126 D - Even Relation,https://atcoder.jp/contests/abc126/tasks/abc126_d,1100,BFS Coloring / Parity
AtCoder,Tree DP,ABC 133 E - Virus Tree,https://atcoder.jp/contests/abc133/tasks/abc133_e,1500,Tree Coloring / Combinatorics
AtCoder,Tree Construction,ABC 146 D - Coloring Edges on Tree,https://atcoder.jp/contests/abc146/tasks/abc146_d,1100,Edge Coloring / BFS
AtCoder,Tree Games,ABC 148 F - Playing Tag on Tree,https://atcoder.jp/contests/abc148/tasks/abc148_f,1600,Game on Tree / Minimax
AtCoder,Tree Construction,ABC 168 D - Double Dots,https://atcoder.jp/contests/abc168/tasks/abc168_d,800,BFS Tree / Spanning Tree
AtCoder,Tree Combinatorics,ABC 173 F - Intervals on Tree,https://atcoder.jp/contests/abc173/tasks/abc173_f,1700,Tree Contribution Counting
AtCoder,Tree Traversal,ABC187 Through Path,https://atcoder.jp/contests/abc187/tasks/abc187_e,1358,Tree
AtCoder,Tree Traversal,ABC190 Shift and Inversions,https://atcoder.jp/contests/abc190/tasks/abc190_f,1321,Tree
AtCoder,LCA,ABC201 Xor Distances,https://atcoder.jp/contests/abc201/tasks/abc201_e,1694,LCA
AtCoder,LCA,ABC202 Count Descendants,https://atcoder.jp/contests/abc202/tasks/abc202_e,1638,LCA
AtCoder,Tree DP,ABC207 Tree Patrolling,https://atcoder.jp/contests/abc207/tasks/abc207_f,2398,Tree DP
AtCoder,Tree Traversal,ABC209 Collision,https://atcoder.jp/contests/abc209/tasks/abc209_d,686,LCA / Distance Parity
AtCoder,Tree Construction,ABC210 Ring MST,https://atcoder.jp/contests/abc210/tasks/abc210_e,1618,MST
AtCoder,Tree Traversal,ABC211 Rectilinear Polygons,https://atcoder.jp/contests/abc211/tasks/abc211_f,2350,Tree
AtCoder,Tree DP,ABC212 Greedy Takahashi,https://atcoder.jp/contests/abc212/tasks/abc212_f,2332,Tree DP
AtCoder,Tree DP,ABC213 Stroll,https://atcoder.jp/contests/abc213/tasks/abc213_h,2806,Tree DP
AtCoder,Tree Traversal,ABC213 Takahashi Tour,https://atcoder.jp/contests/abc213/tasks/abc213_d,710,DFS Traversal
AtCoder,Tree Queries,ABC214 Sum of Maximum Weights,https://atcoder.jp/contests/abc214/tasks/abc214_d,1341,DSU / Edge Sorting
AtCoder,Tree Construction,ABC218 Destruction,https://atcoder.jp/contests/abc218/tasks/abc218_e,1004,MST
AtCoder,Tree DP,ABC218 Game on Tree 2,https://atcoder.jp/contests/abc218/tasks/abc218_g,2217,Tree DP
AtCoder,Tree DP,ABC220 Distance Sums 2,https://atcoder.jp/contests/abc220/tasks/abc220_f,1304,Rerooting DP
AtCoder,LCA,ABC220 Distance on Large Perfect Binary Tree,https://atcoder.jp/contests/abc220/tasks/abc220_e,1593,LCA
AtCoder,Tree Traversal,ABC221 Diameter set,https://atcoder.jp/contests/abc221/tasks/abc221_f,2093,Tree
AtCoder,Tree DP,ABC222 Beautiful Binary Tree,https://atcoder.jp/contests/abc222/tasks/abc222_h,3477,Tree DP
AtCoder,Tree DP,ABC222 Between Two Arrays,https://atcoder.jp/contests/abc222/tasks/abc222_d,865,Tree DP
AtCoder,Tree DP,ABC222 Expensive Expense,https://atcoder.jp/contests/abc222/tasks/abc222_f,1934,Rerooting DP / Tree Diameter
AtCoder,Tree DP,ABC222 Red and Blue Tree,https://atcoder.jp/contests/abc222/tasks/abc222_e,1491,Tree DP
AtCoder,Tree Traversal,ABC223 Parenthesis Checking,https://atcoder.jp/contests/abc223/tasks/abc223_f,1641,Tree
AtCoder,Tree DP,ABC223 Vertex Deletion,https://atcoder.jp/contests/abc223/tasks/abc223_g,2351,Rerooting DP
AtCoder,Tree Traversal,ABC223 Xor Query,https://atcoder.jp/contests/abc223/tasks/abc223_h,2771,Tree
AtCoder,Tree Traversal,ABC227 Eat Them All,https://atcoder.jp/contests/abc227/tasks/abc227_h,3229,Tree
AtCoder,Tree Traversal,ABC230 Bullion,https://atcoder.jp/contests/abc230/tasks/abc230_h,3528,Tree
AtCoder,Tree Traversal,ABC233 Manhattan Christmas Tree ,https://atcoder.jp/contests/abc233/tasks/abc233_h,2530,Tree
AtCoder,Tree Traversal,ABC233 Swap and Sort,https://atcoder.jp/contests/abc233/tasks/abc233_f,2038,Tree
AtCoder,Tree Construction,ABC235 MST + 1,https://atcoder.jp/contests/abc235/tasks/abc235_e,1304,MST
AtCoder,Tree Construction,ABC235 Painting Weighted Graph,https://atcoder.jp/contests/abc235/tasks/abc235_h,2967,MST
AtCoder,Tree Traversal,ABC238 Range Sums,https://atcoder.jp/contests/abc238/tasks/abc238_e,1577,Tree
AtCoder,Tree Construction,ABC239 Construct Highway,https://atcoder.jp/contests/abc239/tasks/abc239_f,1959,DSU / Tree Construction
AtCoder,Tree Traversal,ABC239 Subtree K-th Max,https://atcoder.jp/contests/abc239/tasks/abc239_e,1084,Tree
AtCoder,Tree Queries,ABC240 Ranges on Tree,https://atcoder.jp/contests/abc240/tasks/abc240_e,1068,Subtree Intervals / Euler Tour
AtCoder,Tree DP,ABC240 Sequence of Substrings,https://atcoder.jp/contests/abc240/tasks/abc240_h,3184,Tree DP
AtCoder,Tree Traversal,ABC243 Moves on Binary Tree,https://atcoder.jp/contests/abc243/tasks/abc243_d,758,Tree
AtCoder,Tree Construction,ABC244 Construct Good Path,https://atcoder.jp/contests/abc244/tasks/abc244_g,2117,MST
AtCoder,Tree Traversal,ABC245 Foreign Friends,https://atcoder.jp/contests/abc245/tasks/abc245_g,2270,Tree
AtCoder,Tree DP,ABC246 Game on Tree 3,https://atcoder.jp/contests/abc246/tasks/abc246_g,2313,Tree DP / Binary Search
AtCoder,Tree DP,ABC248 GCD cost on the tree,https://atcoder.jp/contests/abc248/tasks/abc248_g,2514,Tree DP
AtCoder,Tree Construction,ABC250 Trespassing Takahashi,https://atcoder.jp/contests/abc250/tasks/abc250_h,2773,MST
AtCoder,Tree Construction,ABC251 Two Spanning Trees,https://atcoder.jp/contests/abc251/tasks/abc251_f,1703,MST
AtCoder,Tree Traversal,ABC252 Bread,https://atcoder.jp/contests/abc252/tasks/abc252_f,1609,Tree
AtCoder,Tree DP,ABC252 Pre-Order,https://atcoder.jp/contests/abc252/tasks/abc252_g,2153,Tree DP
AtCoder,Tree Construction,ABC253 We Love Forest,https://atcoder.jp/contests/abc253/tasks/abc253_h,2758,MST
AtCoder,Tree Traversal,ABC254 Multiply or Divide by 2,https://atcoder.jp/contests/abc254/tasks/abc254_h,2499,Tree
AtCoder,Tree Construction,ABC255 Pre-order and In-order,https://atcoder.jp/contests/abc255/tasks/abc255_f,1797,Tree Construction / Traversal
AtCoder,Tree Traversal,ABC256 I like Query Problem,https://atcoder.jp/contests/abc256/tasks/abc256_h,2531,Tree
AtCoder,LCA,ABC258 Packing Potatoes,https://atcoder.jp/contests/abc258/tasks/abc258_e,1545,LCA
AtCoder,Tree DP,ABC259 Select Edges,https://atcoder.jp/contests/abc259/tasks/abc259_f,1961,Tree DP
AtCoder,Tree Traversal,ABC262 Erase and Rotate,https://atcoder.jp/contests/abc262/tasks/abc262_f,2334,Tree
AtCoder,Tree DP,ABC263 Ancestor,https://atcoder.jp/contests/abc263/tasks/abc263_b,0,Tree DP
AtCoder,Tree DP,ABC263 Tournament,https://atcoder.jp/contests/abc263/tasks/abc263_f,2066,Tree DP
AtCoder,Tree DP,ABC264 Perfect Binary Tree,https://atcoder.jp/contests/abc264/tasks/abc264_h,2660,Tree DP
AtCoder,Tree Traversal,ABC265 012 Inversion,https://atcoder.jp/contests/abc265/tasks/abc265_g,2436,Tree
AtCoder,Tree DP,ABC266 Snuke Panic (2D),https://atcoder.jp/contests/abc266/tasks/abc266_h,2865,Tree DP
AtCoder,Tree DP,ABC266 Well-defined Path Queries on a Namori,https://atcoder.jp/contests/abc266/tasks/abc266_f,1525,Tree Diameter / LCA
AtCoder,Tree DP,ABC267 Exactly K Steps,https://atcoder.jp/contests/abc267/tasks/abc267_f,1939,Tree Diameter / LCA / Centroid
AtCoder,Tree Traversal,ABC268 Random Student ID,https://atcoder.jp/contests/abc268/tasks/abc268_g,2311,Tree
AtCoder,LCA,ABC269 Antichain,https://atcoder.jp/contests/abc269/tasks/abc269_h,3178,LCA
AtCoder,Tree Traversal,ABC270 Simple path,https://atcoder.jp/contests/abc270/tasks/abc270_c,625,Tree Path / DFS
AtCoder,Tree Construction,ABC270 Transportation,https://atcoder.jp/contests/abc270/tasks/abc270_f,1834,MST / Minimum Spanning Tree
AtCoder,Tree DP,ABC272 Flipping Coins 2,https://atcoder.jp/contests/abc272/tasks/abc272_h,3740,Tree DP
AtCoder,Tree Traversal,ABC273 Notebook,https://atcoder.jp/contests/abc273/tasks/abc273_e,1624,Tree
AtCoder,LCA,ABC274 XOR Sum of Arrays,https://atcoder.jp/contests/abc274/tasks/abc274_h,3191,LCA
AtCoder,Tree Queries,ABC275 Monster,https://atcoder.jp/contests/abc275/tasks/abc275_h,3210,HLD / Segment Tree
AtCoder,Tree Traversal,ABC276 Double Chance,https://atcoder.jp/contests/abc276/tasks/abc276_f,1562,Tree
